ID,Start time,Completion time,Email,Name,Last modified time,Select your year group:,Which AI platforms or tools have you used for schoolwork or homework? (Select all that apply),How often do you use AI tools for academic work?,For which subjects do you most commonly use AI tools? (Select all that apply),How do you typically use AI tools for your schoolwork? (Select all that apply),"When you use AI for homework, do you typically:",How do you feel about using AI tools for schoolwork?,How confident are you in your ability to use AI tools effectively and ethically?,Do you currently declare when you've used AI tools in your homework or assignments?,How aware do you think your teachers are of your AI usage?,"How do you feel about teachers using AI in their teaching, e.g. when preparing resources for lessons?",What support would be most helpful from school regarding AI use? (Select up to 3),Have you ever been unsure whether your use of AI was appropriate for a particular assignment or task?,How did you first learn about using AI tools for schoolwork?,Do you primarily use AI tools on:,Are your parents/guardians aware that you use AI tools for schoolwork?,"What has prevented you from using AI tools more, or what concerns do you have? (Select all that apply)","Is there anything else you'd like us to know about your experience with AI tools, or suggestions for how the school could better support students in this area?"
11,6/11/25 14:14:24,6/11/25 14:17:24,anonymous,,,Year 11,ChatGPT;Photomath or similar math solvers;,Weekly, English/Literature;Mathematics;, Getting help understanding difficult concepts;Solving math problems step-by-step;Helping with research and finding information;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,Sometimes,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Friends or classmates,Personal devices at home,"Yes, they know and are supportive",Concerned about accuracy of AI responses;School policies are unclear;,  
12,6/11/25 14:18:32,6/11/25 14:21:56,anonymous,,,Year 11,ChatGPT;,Several times a week, English/Literature;, Getting help understanding difficult concepts;Generating ideas for essays or projects;Helping with research and finding information;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations, Very confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea, Very positive ,Understanding how to cite/acknowledge AI use properly;,"No, never",Friends or classmates,Personal devices at home,"Yes, they know and are supportive",Cost of premium AI services;Nothing prevents me - I use AI as much as I want;,For gcse revision it has been so helpful for example to make essay plans for ideas when i have so many to do. It’s been most helpful for english literature. and it is free 
13,6/11/25 14:15:39,6/11/25 14:24:20,anonymous,,,Year 11,ChatGPT;,Rarely,Mathematics;, Getting help understanding difficult concepts;Solving math problems step-by-step;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Very negative ,Training on how to use AI tools effectively;Learning about AI limitations and potential biases;Discussion sessions about AI ethics;,"Yes, but only once or twice",Friends or classmates,I don't currently use AI tools,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;Concerned about accuracy of AI responses;Concerns with over-reliance ;Don't know how to use them effectively;,Not really. I think that AI use should be limited and not encouraged by the school unless necessary.
14,6/11/25 14:36:10,6/11/25 14:42:02,anonymous,,,Year 11,I have not used any AI tools for schoolwork;,Never,none;,i dont;,i don’t use ai,Neutral - neither positive nor negative,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,"No, never",Friends or classmates,I don't currently use AI tools,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;School policies are unclear;Concerned about accuracy of AI responses;Worried it might be considered cheating;,no
15,6/11/25 14:42:02,6/11/25 14:46:25,anonymous,,,Year 11,I have not used any AI tools for schoolwork;,Never,N/A;,N/A;,I do not use AI,Very negative - prefer not to use them, Very confident,Always,Very aware - they know exactly how and when I use AI,Very negative ,Don't use AI;,"No, never",N/A,I don't currently use AI tools,Not applicable - I don't use AI tools,I don't believe using AI at all is ethical/necessary;,N/A
16,6/11/25 14:57:54,6/11/25 14:59:50,anonymous,,,Year 11,Language translation tools (e.g. Google Translate);,Monthly,Modern Foreign Languages;Computer Science;,Translating text between languages; Getting help understanding difficult concepts;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat negative ,Training on how to use AI tools effectively;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Found them myself through online research,Personal devices at home,"Yes, they know and are supportive",Worried it might be considered cheating;Prefer to do work without AI assistance;,-
17,6/11/25 14:55:11,6/11/25 15:00:19,anonymous,,,Year 11,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Translating text between languages;,"Use AI only to understand concepts, not create content",Very negative - prefer not to use them,Somewhat confident,Usually,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Learning about AI limitations and potential biases;Discussion sessions about AI ethics;,"No, never",Teachers or school,I don't currently use AI tools,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;,n/a
18,6/11/25 14:58:28,6/11/25 15:03:26,anonymous,,,Year 11,ChatGPT;Language translation tools (e.g. Google Translate);Photomath or similar math solvers;Google Bard/Gemini;,Several times a week, English/Literature;Modern Foreign Languages;,Checking my work for errors;Generating ideas for essays or projects;Improving my writing style and grammar;Solving math problems step-by-step;,"i dont use it for homework, just studying ",Neutral - neither positive nor negative, Very confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat positive ,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;,"No, never",Friends or classmates,Personal devices at home,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,"using AI is normally deemed as purely cheating but it can be used to better our learning, and i think that needs to be acknowledged more"
19,6/11/25 14:55:19,6/11/25 15:04:00,anonymous,,,Year 11,ChatGPT;,Daily,Humanities; English/Literature;,Checking my work for errors;Helping with research and finding information;,Use AI to check or improve work I've already created,Very positive - they're extremely helpful, Very confident,Usually,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Training on how to use AI tools effectively;Learning about AI limitations and potential biases;Discussion sessions about AI ethics;,"Yes, but only once or twice",Family members,Personal devices at home,"Yes, they know and are supportive",Concerned about accuracy of AI responses;Cost of premium AI services;Privacy concerns about my data;,"Personally, I fear the new influence of AI as it is seemingly taking over everything. However, the way I use AI has benefited me a lot and helped me especially during gcse revision. I would never use it to generate an essay for example which I would hand it to school or for example a history project. Instead I use it to mark my work especially subjects where there is no concrete mark scheme. For example, I will write a 25 marker for history and carefully plan it and learn all the content and then paste it into chat gpt so that it can mark it as its very hard to mark myself.  This has been super helpful during study leave as I have been able to get an estimate of the quality of my work. I am always careful to check the information that chat gpt gives me and I never rely on it heavily for information in any way. I have even found multiple mistakes regarding information it generates which is why it’s a dangerous tool to use. I know a few people in the year group who use it and I can see how it’s not benefitting them in any way as they use it to do their work without actually putting any effort in. But for me it has been seriously helpful. It’s also good at summarising notes if you have a lot and it can generate very intricate time tables which is great. Hope this helps!!!"
20,6/11/25 15:08:05,6/11/25 15:11:17,anonymous,,,Year 11,ChatGPT;,Weekly,"Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Solving math problems step-by-step;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Somewhat confident,Sometimes,Somewhat aware - they have a general idea,Somewhat positive ,Training on how to use AI tools effectively;Understanding how to cite/acknowledge AI use properly;,"No, never",Family members,Personal devices at school,"Yes, they know and are supportive",Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,no
21,6/11/25 15:23:52,6/11/25 15:26:17,anonymous,,,Year 11,ChatGPT;Microsoft Copilot;Quillbot (paraphrasing tool);Photomath or similar math solvers;Language translation tools (e.g. Google Translate);Grammarly (AI writing assistant);,Daily," English/Literature;Sciences (Biology, Chemistry, Physics);Humanities;","Improving my writing style and grammar;Solving math problems step-by-step; Getting help understanding difficult concepts;Translating text between languages;Marking my answers for 6 markers, 8 markers, and also english essays ;",Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations,Somewhat confident,Always,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Discussion sessions about AI ethics;Training on how to use AI tools effectively;Clear guidelines on when AI use is acceptable;,I haven't really thought about this,Found them myself through online research,Personal devices at home,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;Bad for the environment ;,n/a
22,6/11/25 15:32:07,6/11/25 15:39:55,anonymous,,,Year 11,ChatGPT;,Monthly," English/Literature;Mathematics;Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Generating ideas for essays or projects;Solving math problems step-by-step;summarising my own notes ;,Use AI as a starting point and significantly modify the output,Very positive - they're extremely helpful, Very confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;,"Yes, but only once or twice",News or articles,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;Don't know how to use them effectively;,"understanding that when students use AI it is not always doing homework for them but maybe helping make a revision table or do summaries for a tricky topic, when teachers find out i have used ai in some of my homework they assume i have done none of the work at all, and start to act negatively towards me or another student when they use ai (this is not all teachers but some) but the truth is that i use it to understand what the homework is asking me to do something i often struggle with and do not always want to ask the teacher, or to use for ideas to help stimulate my own topics for essays as i do not usually directly or at all use the ai prompts"
23,6/11/25 15:55:38,6/11/25 15:59:58,anonymous,,,Year 11,ChatGPT;Grammarly (AI writing assistant);Quillbot (paraphrasing tool);Photomath or similar math solvers;Language translation tools (e.g. Google Translate);,Rarely,Mathematics;, Getting help understanding difficult concepts;Solving math problems step-by-step;Translating text between languages;,Use AI to check or improve work I've already created,Somewhat negative - concerned about over-reliance, Very confident,Rarely,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;Learning about AI limitations and potential biases;,"Yes, but only once or twice",Friends or classmates,School devices/network,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,"I think that AI is very useful in guiding how to solve problems in maths for example or to generate ideas. I mostly use AI to summarise my work or usually to make my notes shorter, but not too often because it isn’t as accurate as I can be. It concerns me that some people use it a lot and I think overly depending on AI could be a massive issue especially when using it for simple tasks - even my parents use it at work to write emails etc. "
24,6/11/25 16:18:32,6/11/25 16:22:18,anonymous,,,Year 11,Grammarly (AI writing assistant);Language translation tools (e.g. Google Translate);,Rarely, English/Literature;Mathematics;Modern Foreign Languages;,Solving math problems step-by-step; Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;,"Yes, but only once or twice",Friends or classmates,Both school and personal devices equally,I'm not sure if they know,Worried it might be considered cheating;School policies are unclear;,really helpful for testing
25,6/11/25 16:37:55,6/11/25 16:41:27,anonymous,,,Year 11,ChatGPT;,Daily,Computer Science; English/Literature;Mathematics;,Generating ideas for essays or projects;Improving my writing style and grammar;Solving math problems step-by-step;,"Use AI only to understand concepts, not create content",Very positive - they're extremely helpful, Very confident,Rarely,Very aware - they know exactly how and when I use AI, Very positive ,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;,"No, never",Family members,Both school and personal devices equally,"Yes, they know and are supportive",Cost of premium AI services;,No
26,6/11/25 17:19:25,6/11/25 17:24:11,anonymous,,,Year 11,ChatGPT;Language translation tools (e.g. Google Translate);,Weekly, English/Literature;Humanities;,"using it to mark my work (English essays, Rs 12 markers etc);",Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations, Very confident,Always,It varies significantly between teachers,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;,"No, never",Friends or classmates,Personal devices at home,"Yes, they know but don't have strong opinions",Nothing prevents me - I use AI as much as I want;,"Most teachers/students automatically have negative opinions towards AI when it can be really useful, especially during GCSE's because you arent always able to find teachers when you're on study leave, so using it to mark your essays is a quick way to get feedback and improve. Using AI doesn't always mean using it to cheat or getting it to write your work for you."
27,6/11/25 20:07:24,6/11/25 20:10:50,anonymous,,,Year 11,ChatGPT;,Several times a week,"Mathematics;Sciences (Biology, Chemistry, Physics);Humanities;Modern Foreign Languages; English/Literature;", Getting help understanding difficult concepts;Checking my work for errors;Generating ideas for essays or projects;Solving math problems step-by-step;Translating text between languages;,"Use AI only to understand concepts, not create content",Very positive - they're extremely helpful, Very confident,Never,Not very aware - they might suspect but don't know details,Somewhat negative ,Nothing - I'm comfortable with my current AI use;,"No, never",Friends or classmates,Personal devices at school,"Yes, they know and are supportive",Concerned about accuracy of AI responses;,It shouldn’t be banned on network because i found it really helped me understand concepts because on google you can’t ask specific questions but to AI you can so it effectively answers questions and helps you understand 
28,6/11/25 20:10:11,6/11/25 20:12:50,anonymous,,,Year 11,I have not used any AI tools for schoolwork;,Weekly,"Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Somewhat confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Very negative ,Clear guidelines on when AI use is acceptable;Subject-specific guidance on appropriate AI use;Understanding how to cite/acknowledge AI use properly;,I haven't really thought about this,Friends or classmates,Personal devices at home,"Yes, they know but have concerns",Concerned about accuracy of AI responses;School policies are unclear;Don't know how to use them effectively;Worried it might be considered cheating;,n/a
29,6/11/25 22:47:06,6/11/25 22:50:55,anonymous,,,Year 11,I have not used any AI tools for schoolwork;,Never,n/a;,n/a;,i don’t use AI,Very negative - prefer not to use them,Not very confident,Never,It varies significantly between teachers,Somewhat negative ,Training on how to use AI tools effectively;Discussion sessions about AI ethics;,I haven't really thought about this,Friends or classmates,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Concerned about accuracy of AI responses;Don't know how to use them effectively;Prefer to do work without AI assistance;,n/a
30,6/12/25 8:48:49,6/12/25 8:52:53,anonymous,,,Year 11,ChatGPT;,Monthly,Mathematics;Humanities;, Getting help understanding difficult concepts;I send it a document of content and make it quiz me on the content until I learn it;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance, Very confident,Never,Somewhat aware - they have a general idea,Very negative ,Understanding how to cite/acknowledge AI use properly;Learning about AI limitations and potential biases;Clear guidelines on when AI use is acceptable;,"No, never",Friends or classmates,Personal devices at home,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,n/a
31,6/12/25 10:41:23,6/12/25 10:52:07,anonymous,,,Year 11,ChatGPT;Perplexity (sites sources);,Rarely,Humanities;Modern Foreign Languages;, Getting help understanding difficult concepts;Creating revision plans;,"Use AI only to understand concepts, not create content",Very negative - prefer not to use them,Somewhat confident,Always,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Discussion sessions about AI ethics;,"No, never",Family members,Both school and personal devices equally,"Yes, they know and are supportive",Prefer to do work without AI assistance;Worried it might be considered cheating;,"I wouldn't use AI for actual schoolwork, but for revision e.g. marking German writing instead of sending loads of practices to my teacher, and generating mock questions for subjects without past papers (e.g. Greek and Latin literature, which changes every 2 years), I often find it useful. Sometimes I'm not sure whether I can use it e.g. checking my prepared German speaking paragraphs, as although I know AI cannot be used in the exams themselves, I don't think this use is different from my teacher checking it for grammar and spelling errors."
32,6/12/25 12:30:29,6/12/25 12:37:03,anonymous,,,Year 11,ChatGPT;,Daily, English/Literature;,Checking my work for errors;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations, Very confident,Never,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Friends or classmates,Both school and personal devices equally,"Yes, they know and are supportive",Nothing prevents me - I use AI as much as I want;,no
33,6/12/25 18:22:14,6/12/25 18:27:09,anonymous,,,Year 11,ChatGPT;Language translation tools (e.g. Google Translate);,Monthly,"Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Helping with research and finding information;Solving math problems step-by-step;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Somewhat confident,Never,It varies significantly between teachers,Somewhat negative ,Subject-specific guidance on appropriate AI use;,"No, never",Teachers or school,Both school and personal devices equally,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;Worried it might be considered cheating;,project the positives as well as the negatives towards AI use
34,6/12/25 19:25:40,6/12/25 19:30:22,anonymous,,,Year 11,I have not used any AI tools for schoolwork;,Rarely, English/Literature;,Checking my work for errors;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations,Somewhat confident,Never,Very aware - they know exactly how and when I use AI,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;Discussion sessions about AI ethics;Training on how to use AI tools effectively;,"No, never",Found them myself through online research,Personal devices at home,Not applicable - I don't use AI tools,"i only use ai tools to check/mark work i do when i revise in my own time, never for homework from school;Prefer to do work without AI assistance;",no
35,6/14/25 9:58:06,6/14/25 10:11:32,anonymous,,,Year 11,ChatGPT;Microsoft Copilot;,Rarely, English/Literature;,Generating ideas for essays or projects;Checking my work for errors;Helping with research and finding information;Improving my writing style and grammar;Collecting quotes and combining sets of quotes into tables for english literature GCSE.;,"I only use it to create, summerise and mark revision resources.",Somewhat positive - useful but with limitations,Somewhat confident,Usually,Somewhat aware - they have a general idea,Unsure/haven't thought about it much,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;,I haven't really thought about this,Most of the above,Personal devices at home,"Yes, they know and are supportive",Nothing prevents me - I use AI as much as I want;,"I do not use AI for schoolwork. Instead I use it to provide me with information, quotes or practice questions for my revision. I had not used AI until a few months ago however now I find it is a much easier and more efficient way to research rather than googling and reading loads of different articles instead it gives a understandable short summary. It is also very useful when marking essay related subject practice paper where there are not specific mark schemes. I understand if people are using it to directly write essays and do their homework for them then it is could be seen as bad. I think younger years should be provided with how to use AI to help them effectively and where using AI is not allowed then it will deter them from cheating and help them to be benefited by it."
36,6/16/25 8:15:21,6/16/25 8:22:48,anonymous,,,Year 12,I have not used any AI tools for schoolwork;,Never,none;,I don't;,I don't,Somewhat negative - concerned about over-reliance,Somewhat confident,Always,Very aware - they know exactly how and when I use AI,Very negative ,Clear guidelines on when AI use is acceptable;,"No, never",News or articles,I don't currently use AI tools,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;,Nope
37,6/16/25 8:20:59,6/16/25 8:24:58,anonymous,,,Year 12,I have not used any AI tools for schoolwork;,Rarely,none;,I don't use it for schoolwork.;,I don't use it for homework,Very negative - prefer not to use them, Very confident,Always,Very aware - they know exactly how and when I use AI,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,"No, never",News or articles,I don't currently use AI tools,Not applicable - I don't use AI tools,Concerned about accuracy of AI responses;,no.
38,6/16/25 8:19:44,6/16/25 8:38:19,anonymous,,,Year 12,ChatGPT;,Rarely,Mathematics;checking my method for tricky maths questions when I am stuck;,Solving math problems step-by-step;,"Use AI only to understand concepts, not create content",Very negative - prefer not to use them,Somewhat confident,Rarely,Not very aware - they might suspect but don't know details,Very negative ,Training on how to use AI tools effectively;,"No, never",Friends or classmates,I don't currently use AI tools,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;Concerned about accuracy of AI responses;,"I think it is important for students to know the areas in which it is useful to use AI, and the areas where it probably shouldn’t be used. It is important to know the benefits because most people know about the negatives"
39,6/16/25 8:36:00,6/16/25 8:39:45,anonymous,,,Year 12,Photomath or similar math solvers;Grammarly (AI writing assistant);Google Bard/Gemini;,Rarely,Mathematics;,Solving math problems step-by-step;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,"Unsure what ""effective and ethical"" means in this context",Rarely,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;Discussion sessions about AI ethics;,"No, never",Found them myself through online research,School devices/network,"Yes, they know but don't have strong opinions",Don't have reliable access to AI tools;Concerned about accuracy of AI responses;,No
