Select your year group:,Which AI platforms or tools have you used for schoolwork or homework? (Select all that apply),How often do you use AI tools for academic work?,For which subjects do you most commonly use AI tools? (Select all that apply),How do you typically use AI tools for your schoolwork? (Select all that apply),"When you use AI for homework, do you typically:",How do you feel about using AI tools for schoolwork?,How confident are you in your ability to use AI tools effectively and ethically?,Do you currently declare when you've used AI tools in your homework or assignments?,How aware do you think your teachers are of your AI usage?,"How do you feel about teachers using AI in their teaching, e.g. when preparing resources for lessons?",What support would be most helpful from school regarding AI use? (Select up to 3),Have you ever been unsure whether your use of AI was appropriate for a particular assignment or task?,How did you first learn about using AI tools for schoolwork?,Do you primarily use AI tools on:,Are your parents/guardians aware that you use AI tools for schoolwork?,"What has prevented you from using AI tools more, or what concerns do you have? (Select all that apply)","Is there anything else you'd like us to know about your experience with AI tools, or suggestions for how the school could better support students in this area?"
Year 11,ChatGPT;Language translation tools (e.g. Google Translate);Photomath or similar math solvers;Google Bard/Gemini;,Several times a week, English/Literature;Modern Foreign Languages;,Checking my work for errors;Generating ideas for essays or projects;Improving my writing style and grammar;Solving math problems step-by-step;,"i dont use it for homework, just studying ",Neutral - neither positive nor negative, Very confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat positive ,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;,"No, never",Friends or classmates,Personal devices at home,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,"using AI is normally deemed as purely cheating but it can be used to better our learning, and i think that needs to be acknowledged more"
Year 11,ChatGPT;,Daily,Humanities; English/Literature;,Checking my work for errors;Helping with research and finding information;,Use AI to check or improve work I've already created,Very positive - they're extremely helpful, Very confident,Usually,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Training on how to use AI tools effectively;Learning about AI limitations and potential biases;Discussion sessions about AI ethics;,"Yes, but only once or twice",Family members,Personal devices at home,"Yes, they know and are supportive",Concerned about accuracy of AI responses;Cost of premium AI services;Privacy concerns about my data;,"Personally, I fear the new influence of AI as it is seemingly taking over everything. However, the way I use AI has benefited me a lot and helped me especially during gcse revision. I would never use it to generate an essay for example which I would hand it to school or for example a history project. Instead I use it to mark my work especially subjects where there is no concrete mark scheme. For example, I will write a 25 marker for history and carefully plan it and learn all the content and then paste it into chat gpt so that it can mark it as its very hard to mark myself.  This has been super helpful during study leave as I have been able to get an estimate of the quality of my work. I am always careful to check the information that chat gpt gives me and I never rely on it heavily for information in any way. I have even found multiple mistakes regarding information it generates which is why it’s a dangerous tool to use. I know a few people in the year group who use it and I can see how it’s not benefitting them in any way as they use it to do their work without actually putting any effort in. But for me it has been seriously helpful. It’s also good at summarising notes if you have a lot and it can generate very intricate time tables which is great. Hope this helps!!!"
Year 11,ChatGPT;,Weekly,"Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Solving math problems step-by-step;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Somewhat confident,Sometimes,Somewhat aware - they have a general idea,Somewhat positive ,Training on how to use AI tools effectively;Understanding how to cite/acknowledge AI use properly;,"No, never",Family members,Personal devices at school,"Yes, they know and are supportive",Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,no
Year 11,ChatGPT;Microsoft Copilot;Quillbot (paraphrasing tool);Photomath or similar math solvers;Language translation tools (e.g. Google Translate);Grammarly (AI writing assistant);,Daily," English/Literature;Sciences (Biology, Chemistry, Physics);Humanities;","Improving my writing style and grammar;Solving math problems step-by-step; Getting help understanding difficult concepts;Translating text between languages;Marking my answers for 6 markers, 8 markers, and also english essays ;",Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations,Somewhat confident,Always,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Discussion sessions about AI ethics;Training on how to use AI tools effectively;Clear guidelines on when AI use is acceptable;,I haven't really thought about this,Found them myself through online research,Personal devices at home,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;Bad for the environment ;,n/a
Year 11,ChatGPT;,Monthly," English/Literature;Mathematics;Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Generating ideas for essays or projects;Solving math problems step-by-step;summarising my own notes ;,Use AI as a starting point and significantly modify the output,Very positive - they're extremely helpful, Very confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;,"Yes, but only once or twice",News or articles,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;Don't know how to use them effectively;,"understanding that when students use AI it is not always doing homework for them but maybe helping make a revision table or do summaries for a tricky topic, when teachers find out i have used ai in some of my homework they assume i have done none of the work at all, and start to act negatively towards me or another student when they use ai (this is not all teachers but some) but the truth is that i use it to understand what the homework is asking me to do something i often struggle with and do not always want to ask the teacher, or to use for ideas to help stimulate my own topics for essays as i do not usually directly or at all use the ai prompts"
Year 11,ChatGPT;Grammarly (AI writing assistant);Quillbot (paraphrasing tool);Photomath or similar math solvers;Language translation tools (e.g. Google Translate);,Rarely,Mathematics;, Getting help understanding difficult concepts;Solving math problems step-by-step;Translating text between languages;,Use AI to check or improve work I've already created,Somewhat negative - concerned about over-reliance, Very confident,Rarely,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;Learning about AI limitations and potential biases;,"Yes, but only once or twice",Friends or classmates,School devices/network,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,"I think that AI is very useful in guiding how to solve problems in maths for example or to generate ideas. I mostly use AI to summarise my work or usually to make my notes shorter, but not too often because it isn’t as accurate as I can be. It concerns me that some people use it a lot and I think overly depending on AI could be a massive issue especially when using it for simple tasks - even my parents use it at work to write emails etc. "
Year 11,Grammarly (AI writing assistant);Language translation tools (e.g. Google Translate);,Rarely, English/Literature;Mathematics;Modern Foreign Languages;,Solving math problems step-by-step; Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;,"Yes, but only once or twice",Friends or classmates,Both school and personal devices equally,I'm not sure if they know,Worried it might be considered cheating;School policies are unclear;,really helpful for testing
Year 11,ChatGPT;,Daily,Computer Science; English/Literature;Mathematics;,Generating ideas for essays or projects;Improving my writing style and grammar;Solving math problems step-by-step;,"Use AI only to understand concepts, not create content",Very positive - they're extremely helpful, Very confident,Rarely,Very aware - they know exactly how and when I use AI, Very positive ,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;,"No, never",Family members,Both school and personal devices equally,"Yes, they know and are supportive",Cost of premium AI services;,No
Year 11,ChatGPT;Language translation tools (e.g. Google Translate);,Weekly, English/Literature;Humanities;,"using it to mark my work (English essays, Rs 12 markers etc);",Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations, Very confident,Always,It varies significantly between teachers,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;,"No, never",Friends or classmates,Personal devices at home,"Yes, they know but don't have strong opinions",Nothing prevents me - I use AI as much as I want;,"Most teachers/students automatically have negative opinions towards AI when it can be really useful, especially during GCSE's because you arent always able to find teachers when you're on study leave, so using it to mark your essays is a quick way to get feedback and improve. Using AI doesn't always mean using it to cheat or getting it to write your work for you."
Year 11,ChatGPT;,Several times a week,"Mathematics;Sciences (Biology, Chemistry, Physics);Humanities;Modern Foreign Languages; English/Literature;", Getting help understanding difficult concepts;Checking my work for errors;Generating ideas for essays or projects;Solving math problems step-by-step;Translating text between languages;,"Use AI only to understand concepts, not create content",Very positive - they're extremely helpful, Very confident,Never,Not very aware - they might suspect but don't know details,Somewhat negative ,Nothing - I'm comfortable with my current AI use;,"No, never",Friends or classmates,Personal devices at school,"Yes, they know and are supportive",Concerned about accuracy of AI responses;,It shouldn’t be banned on network because i found it really helped me understand concepts because on google you can’t ask specific questions but to AI you can so it effectively answers questions and helps you understand 
Year 11,I have not used any AI tools for schoolwork;,Weekly,"Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Somewhat confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Very negative ,Clear guidelines on when AI use is acceptable;Subject-specific guidance on appropriate AI use;Understanding how to cite/acknowledge AI use properly;,I haven't really thought about this,Friends or classmates,Personal devices at home,"Yes, they know but have concerns",Concerned about accuracy of AI responses;School policies are unclear;Don't know how to use them effectively;Worried it might be considered cheating;,n/a
Year 11,I have not used any AI tools for schoolwork;,Never,n/a;,n/a;,i don’t use AI,Very negative - prefer not to use them,Not very confident,Never,It varies significantly between teachers,Somewhat negative ,Training on how to use AI tools effectively;Discussion sessions about AI ethics;,I haven't really thought about this,Friends or classmates,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Concerned about accuracy of AI responses;Don't know how to use them effectively;Prefer to do work without AI assistance;,n/a
Year 11,ChatGPT;,Monthly,Mathematics;Humanities;, Getting help understanding difficult concepts;I send it a document of content and make it quiz me on the content until I learn it;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance, Very confident,Never,Somewhat aware - they have a general idea,Very negative ,Understanding how to cite/acknowledge AI use properly;Learning about AI limitations and potential biases;Clear guidelines on when AI use is acceptable;,"No, never",Friends or classmates,Personal devices at home,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,n/a
Year 11,ChatGPT;Perplexity (sites sources);,Rarely,Humanities;Modern Foreign Languages;, Getting help understanding difficult concepts;Creating revision plans;,"Use AI only to understand concepts, not create content",Very negative - prefer not to use them,Somewhat confident,Always,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Discussion sessions about AI ethics;,"No, never",Family members,Both school and personal devices equally,"Yes, they know and are supportive",Prefer to do work without AI assistance;Worried it might be considered cheating;,"I wouldn't use AI for actual schoolwork, but for revision e.g. marking German writing instead of sending loads of practices to my teacher, and generating mock questions for subjects without past papers (e.g. Greek and Latin literature, which changes every 2 years), I often find it useful. Sometimes I'm not sure whether I can use it e.g. checking my prepared German speaking paragraphs, as although I know AI cannot be used in the exams themselves, I don't think this use is different from my teacher checking it for grammar and spelling errors."
Year 11,ChatGPT;,Daily, English/Literature;,Checking my work for errors;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations, Very confident,Never,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Friends or classmates,Both school and personal devices equally,"Yes, they know and are supportive",Nothing prevents me - I use AI as much as I want;,no
Year 11,ChatGPT;Language translation tools (e.g. Google Translate);,Monthly,"Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Helping with research and finding information;Solving math problems step-by-step;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Somewhat confident,Never,It varies significantly between teachers,Somewhat negative ,Subject-specific guidance on appropriate AI use;,"No, never",Teachers or school,Both school and personal devices equally,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;Worried it might be considered cheating;,project the positives as well as the negatives towards AI use
Year 11,I have not used any AI tools for schoolwork;,Rarely, English/Literature;,Checking my work for errors;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations,Somewhat confident,Never,Very aware - they know exactly how and when I use AI,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;Discussion sessions about AI ethics;Training on how to use AI tools effectively;,"No, never",Found them myself through online research,Personal devices at home,Not applicable - I don't use AI tools,"i only use ai tools to check/mark work i do when i revise in my own time, never for homework from school;Prefer to do work without AI assistance;",no
Year 11,ChatGPT;Microsoft Copilot;,Rarely, English/Literature;,Generating ideas for essays or projects;Checking my work for errors;Helping with research and finding information;Improving my writing style and grammar;Collecting quotes and combining sets of quotes into tables for english literature GCSE.;,"I only use it to create, summerise and mark revision resources.",Somewhat positive - useful but with limitations,Somewhat confident,Usually,Somewhat aware - they have a general idea,Unsure/haven't thought about it much,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;,I haven't really thought about this,Most of the above,Personal devices at home,"Yes, they know and are supportive",Nothing prevents me - I use AI as much as I want;,"I do not use AI for schoolwork. Instead I use it to provide me with information, quotes or practice questions for my revision. I had not used AI until a few months ago however now I find it is a much easier and more efficient way to research rather than googling and reading loads of different articles instead it gives a understandable short summary. It is also very useful when marking essay related subject practice paper where there are not specific mark schemes. I understand if people are using it to directly write essays and do their homework for them then it is could be seen as bad. I think younger years should be provided with how to use AI to help them effectively and where using AI is not allowed then it will deter them from cheating and help them to be benefited by it."
Year 12,I have not used any AI tools for schoolwork;,Never,none;,I don't;,I don't,Somewhat negative - concerned about over-reliance,Somewhat confident,Always,Very aware - they know exactly how and when I use AI,Very negative ,Clear guidelines on when AI use is acceptable;,"No, never",News or articles,I don't currently use AI tools,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;,Nope
Year 12,I have not used any AI tools for schoolwork;,Rarely,none;,I don't use it for schoolwork.;,I don't use it for homework,Very negative - prefer not to use them, Very confident,Always,Very aware - they know exactly how and when I use AI,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,"No, never",News or articles,I don't currently use AI tools,Not applicable - I don't use AI tools,Concerned about accuracy of AI responses;,no.
Year 12,ChatGPT;,Rarely,Mathematics;checking my method for tricky maths questions when I am stuck;,Solving math problems step-by-step;,"Use AI only to understand concepts, not create content",Very negative - prefer not to use them,Somewhat confident,Rarely,Not very aware - they might suspect but don't know details,Very negative ,Training on how to use AI tools effectively;,"No, never",Friends or classmates,I don't currently use AI tools,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;Concerned about accuracy of AI responses;,"I think it is important for students to know the areas in which it is useful to use AI, and the areas where it probably shouldn’t be used. It is important to know the benefits because most people know about the negatives"
Year 12,Photomath or similar math solvers;Grammarly (AI writing assistant);Google Bard/Gemini;,Rarely,Mathematics;,Solving math problems step-by-step;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,"Unsure what ""effective and ethical"" means in this context",Rarely,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;Discussion sessions about AI ethics;,"No, never",Found them myself through online research,School devices/network,"Yes, they know but don't have strong opinions",Don't have reliable access to AI tools;Concerned about accuracy of AI responses;,No
Year 12,ChatGPT;Language translation tools (e.g. Google Translate);Grammarly (AI writing assistant);,Monthly,Mathematics;, Getting help understanding difficult concepts;Checking my work for errors;Generating ideas for essays or projects;,"Use AI to check or improve work I've already created AND Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Somewhat positive ,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Understanding how to cite/acknowledge AI use properly;,"Yes, occasionally",Friends or classmates,Personal devices at school,I'm not sure if they know,Worried it might be considered cheating;Don't have reliable access to AI tools;Concerned about accuracy of AI responses;Don't know how to use them effectively;,no
Year 12,Quillbot (paraphrasing tool);Language translation tools (e.g. Google Translate);Google Bard/Gemini;,Rarely,Modern Foreign Languages;,Checking my work for errors;Translating text between languages;,Use AI as a starting point and significantly modify the output,Very negative - prefer not to use them,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Somewhat negative ,Clear guidelines on when AI use is acceptable;,I haven't really thought about this,Found them myself through online research,Personal devices at school,I'm not sure if they know,Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,N/A
Year 12,ChatGPT;Google Bard/Gemini;Grammarly (AI writing assistant);Quillbot (paraphrasing tool);Microsoft Copilot;,Weekly,"Creative subjects (Art, Music, Drama);Humanities;",Generating ideas for essays or projects;Improving my writing style and grammar; Getting help understanding difficult concepts;Helping with research and finding information;Checking my work for errors;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations, Very confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Discussion sessions about AI ethics;Clear guidelines on when AI use is acceptable;,"Yes, but only once or twice",Friends or classmates,Personal devices at home,"Yes, they know and are supportive",Concerned about accuracy of AI responses;Worried it might be considered cheating;,n/a
Year 12,ChatGPT;,Several times a week, English/Literature;, Getting help understanding difficult concepts;Generating ideas for essays or projects;Helping with research and finding information;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat positive ,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;Subject-specific guidance on appropriate AI use;,I haven't really thought about this,Teachers or school,Personal devices at home,"Yes, they know but don't have strong opinions",Nothing prevents me - I use AI as much as I want;,n/a
